country,co2_per_capita,gdp,region,gdp_per_capita
Afghanistan,0.295,67594969088.0,Asia,1842.4880664941286
Albania,1.732,34009112576.0,Europe,11820.955153928424
Algeria,4.148,590317551616.0,Africa,14079.648889231496
Angola,0.728,175929573376.0,Africa,5625.509124551242
Argentina,4.066,829373284352.0,Americas,18673.8619193872
Armenia,2.054,33296515072.0,Asia,11738.330885652813
Australia,16.665,1238559621120.0,Oceania,49583.58285212017
Austria,7.529,382269456384.0,Europe,43240.61739187681
Azerbaijan,3.406,160426229760.0,Asia,15801.61049212984
Bahrain,22.044,62559305728.0,Asia,42061.030673427704
Bangladesh,0.504,686521778176.0,Asia,4194.191121289642
Barbados,4.601,3516161024.0,Americas,12571.097182000844
Belarus,6.404,178435260416.0,Europe,18403.78700835938
Belgium,8.724,454384320512.0,Europe,39689.07987790295
Benin,0.623,26682034176.0,Africa,2234.547471301486
Bolivia,2.05,75704713216.0,Americas,6522.385312330435
Bosnia and Herzegovina,6.492,41286324224.0,Europe,12142.565119236548
Botswana,3.061,35844341760.0,Africa,14621.922541752485
Brazil,2.27,2965401501696.0,Americas,14109.766321452269
Bulgaria,6.128,132183449600.0,Europe,18571.810475250597
Burkina Faso,0.243,31315025920.0,Africa,1535.597535003896
Burundi,0.059,7314108928.0,Africa,636.3704877445257
Cambodia,0.898,59541852160.0,Asia,3715.5040878633845
Cameroon,0.384,76168241152.0,Africa,3037.404571054497
Canada,15.779,1669401542656.0,Americas,45076.004398403034
Cape Verde,1.02,3882678784.0,Africa,6797.299734422952
Central African Republic,0.043,3581982464.0,Africa,703.0670446995414
Chad,0.129,31212918784.0,Africa,2000.2879212171738
Chile,4.517,412833611776.0,Americas,22074.949676420845
China,7.307,18151620214784.0,Asia,12809.266576791042
Colombia,1.673,651900551168.0,Americas,13229.315390670952
Comoros,0.378,1416032128.0,Africa,1824.026793005995
Congo,1.212,29513590784.0,Africa,5424.234498381841
Costa Rica,1.633,73336987648.0,Americas,14548.859244023395
Cote d'Ivoire,0.406,102581665792.0,Africa,4023.7587679292255
Croatia,4.26,84978688000.0,Europe,20425.173200836056
Cuba,1.998,92551012352.0,Americas,8169.93529817466
Cyprus,6.024,27790155776.0,Asia,22800.607610224197
Czechia,10.094,326100320256.0,Europe,30955.17458340603
Democratic Republic of Congo,0.028,81846378496.0,Africa,939.8193493815268
Denmark,6.022,268317622272.0,Europe,46528.88724743089
Djibouti,0.364,2913438464.0,Africa,2755.7959145065665
Dominica,2.276,667810432.0,Americas,9427.024731789948
Dominican Republic,2.392,165255135232.0,Americas,15350.391901858635
Ecuador,2.248,175524675584.0,Americas,10315.471265783684
Egypt,2.351,1221832605696.0,Africa,11777.747834833843
El Salvador,1.021,54756343808.0,Americas,8724.247540445545
Equatorial Guinea,4.0,22750613504.0,Africa,15145.85128306866
Estonia,13.565,35409424384.0,Europe,26781.780819969958
Eswatini,0.89,8771760128.0,Africa,7559.060113923287
Ethiopia,0.142,195740319744.0,Africa,1761.3723217178094
Finland,8.303,214535733248.0,Europe,38897.12531001466
France,5.018,2581673803776.0,Europe,40164.307456140545
Gabon,2.734,36693262336.0,Africa,16739.52770170615
Gambia,0.243,3939021824.0,Africa,1611.1072216795997
Georgia,2.667,58984800256.0,Asia,15636.200891599156
Germany,9.101,3885961314304.0,Europe,46877.15556605537
Ghana,0.554,118873890816.0,Africa,3850.7092826817243
Greece,6.751,250035847168.0,Europe,23514.471991742903
Guatemala,1.109,127549980672.0,Americas,7569.652724814269
Guinea,0.294,19045322752.0,Africa,1516.966821244121
Guinea-Bissau,0.162,2752462080.0,Africa,1429.8845998397883
Haiti,0.306,18653679616.0,Americas,1693.8754387202748
Honduras,1.007,45382746112.0,Americas,4634.271695667065
Hong Kong,5.694,373682634752.0,Asia,49947.13467653751
Hungary,5.059,250426490880.0,Europe,25615.511833083907
Iceland,10.367,15315260416.0,Europe,43392.03010049553
India,1.9,8835757506560.0,Asia,6454.153718190112
Indonesia,2.26,3075456106496.0,Asia,11515.67905012306
Iran,8.187,1398995943424.0,Asia,16340.05855135325
Iraq,5.258,513592688640.0,Asia,12652.964561833129
