country,co2,region,sub-region
Afghanistan,10.818,Asia,Southern Asia
Albania,4.984,Europe,Southern Europe
Algeria,173.912,Africa,Northern Africa
Andorra,0.495,Europe,Southern Europe
Angola,22.779,Africa,Sub-Saharan Africa
Anguilla,0.143,Americas,Latin America and the Caribbean
Antigua and Barbuda,0.498,Americas,Latin America and the Caribbean
Argentina,180.599,Americas,Latin America and the Caribbean
Armenia,5.826,Asia,Western Asia
Aruba,0.872,Americas,Latin America and the Caribbean
Australia,416.284,Oceania,Australia and New Zealand
Austria,66.557,Europe,Western Europe
Azerbaijan,34.576,Asia,Western Asia
Bahamas,2.7,Americas,Latin America and the Caribbean
Bahrain,32.787,Asia,Western Asia
Bangladesh,82.494,Asia,Southern Asia
Barbados,1.287,Americas,Latin America and the Caribbean
Belarus,62.094,Europe,Eastern Europe
Belgium,99.874,Europe,Western Europe
Belize,0.605,Americas,Latin America and the Caribbean
Benin,7.434,Africa,Sub-Saharan Africa
Bermuda,0.703,Americas,Northern America
Bhutan,1.349,Asia,Southern Asia
Bolivia,23.799,Americas,Latin America and the Caribbean
Bonaire Sint Eustatius and Saba,0.099,Americas,Latin America and the Caribbean
Bosnia and Herzegovina,22.075,Europe,Southern Europe
Botswana,7.504,Africa,Sub-Saharan Africa
Brazil,477.102,Americas,Latin America and the Caribbean
British Virgin Islands,0.161,Americas,Latin America and the Caribbean
Brunei,9.344,Asia,South-eastern Asia
Bulgaria,43.616,Europe,Eastern Europe
Burkina Faso,4.948,Africa,Sub-Saharan Africa
Burundi,0.684,Africa,Sub-Saharan Africa
Cambodia,14.388,Asia,South-eastern Asia
Cameroon,9.634,Africa,Sub-Saharan Africa
Canada,584.369,Americas,Northern America
Cape Verde,0.583,Africa,Sub-Saharan Africa
Central African Republic,0.22,Africa,Sub-Saharan Africa
Chad,2.007,Africa,Sub-Saharan Africa
Chile,84.469,Americas,Latin America and the Caribbean
China,10353.877,Asia,Eastern Asia
Colombia,82.427,Americas,Latin America and the Caribbean
Comoros,0.293,Africa,Sub-Saharan Africa
Congo,6.596,Africa,Sub-Saharan Africa
Cook Islands,0.081,Oceania,Polynesia
Costa Rica,8.229,Americas,Latin America and the Caribbean
Cote d'Ivoire,10.352,Africa,Sub-Saharan Africa
Croatia,17.724,Europe,Southern Europe
Cuba,22.631,Americas,Latin America and the Caribbean
Curacao,3.979,Americas,Latin America and the Caribbean
Cyprus,7.343,Asia,Western Asia
Czechia,106.338,Europe,Eastern Europe
Democratic Republic of Congo,2.472,Africa,Sub-Saharan Africa
Denmark,34.725,Europe,Northern Europe
Djibouti,0.385,Africa,Sub-Saharan Africa
Dominica,0.161,Americas,Latin America and the Caribbean
Dominican Republic,25.756,Americas,Latin America and the Caribbean
Ecuador,38.245,Americas,Latin America and the Caribbean
Egypt,243.908,Africa,Northern Africa
El Salvador,6.41,Americas,Latin America and the Caribbean
Equatorial Guinea,6.008,Africa,Sub-Saharan Africa
Eritrea,0.83,Africa,Sub-Saharan Africa
Estonia,17.935,Europe,Northern Europe
Eswatini,1.033,Africa,Sub-Saharan Africa
Ethiopia,15.808,Africa,Sub-Saharan Africa
Faeroe Islands,0.725,Europe,Northern Europe
Fiji,1.356,Oceania,Melanesia
Finland,45.796,Europe,Northern Europe
France,322.527,Europe,Western Europe
French Guiana,0.703,Americas,Latin America and the Caribbean
French Polynesia,0.876,Oceania,Polynesia
Gabon,5.992,Africa,Sub-Saharan Africa
Gambia,0.594,Africa,Sub-Saharan Africa
Georgia,10.063,Asia,Western Asia
Germany,754.408,Europe,Western Europe
Ghana,17.105,Africa,Sub-Saharan Africa
Greece,71.782,Europe,Southern Europe
Greenland,0.548,Americas,Northern America
Grenada,0.308,Americas,Latin America and the Caribbean
Guadeloupe,2.472,Americas,Latin America and the Caribbean
Guatemala,18.691,Americas,Latin America and the Caribbean
Guinea,3.686,Africa,Sub-Saharan Africa
Guinea-Bissau,0.311,Africa,Sub-Saharan Africa
Guyana,2.481,Americas,Latin America and the Caribbean
Haiti,3.371,Americas,Latin America and the Caribbean
Honduras,9.861,Americas,Latin America and the Caribbean
Hong Kong,42.601,Asia,Eastern Asia
Hungary,49.463,Europe,Eastern Europe
Iceland,3.659,Europe,Northern Europe
India,2600.447,Asia,Southern Asia
Indonesia,603.657,Asia,South-eastern Asia
Iran,700.938,Asia,Southern Asia
Iraq,213.431,Asia,Western Asia
